"artists"                                                                          ,"explicit","genre"                               ,"lyric"                                                                                                                                     ,"musixmatch_rating","rank","title"
"MARISELA"                                                                         ,""        ,""                                    ,""                                                                                                                                          ,""                 ,827   ,"AVIENTAME"
"BANDA MS"                                                                         ,""        ,""                                    ,""                                                                                                                                          ,""                 ,828   ,"CAGUATES PISTACHES"
"EDUARDO TOGI"                                                                     ,""        ,"Music"                               ,""                                                                                                                                          ,3.0                ,829   ,"BAILA"
"JULION ALVAREZ"                                                                   ,""        ,""                                    ,""                                                                                                                                          ,""                 ,830   ,"CORAZON MAGICO"
"BANDA MS"                                                                         ,""        ,"Holiday / Christmas"                 ,""                                                                                                                                          ,1.0                ,831   ,"SANTA CLAUS LLEGO A LA CIUDAD"
"MIGUEL GALINDO"                                                                   ,0.0       ,"Pop"                                 ,"Siéntate, escuchame prepárate
Lo que voy a decirte
Lo he pensado muy bien
Yo no la busqué solo la encontré y me enamoré
Tu me hiciste a un lado y por eso fue que yo me fije
En su sonrisa, su belleza ya no te quiero ni contar
Como es cuando me besa
Como es en la cama
Ya no me preguntes qué es lo que ella tiene que no tienes tu
Que como me mira
Qué como se llama
Y si me hace el amor mejor que tu
...


 "                                                                                ,4.0                ,832   ,"YA NO ME PREGUNTES"
"LOS PLEBEYOS"                                                                     ,""        ,""                                    ,""                                                                                                                                          ,""                 ,833   ,"PEGALE PAPA"
"JORGE MEDINA"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Una vida equilibrada
Buenas damas, buenas trocas
Y con billete en la bolsa
Bien a gusto me la paso
Y soy ejemplo de varios por saber hacer las cosas
No me creo mas que nadie
La humildad siempre es la basé de las cosas que son grandes
Ahorita voy a enfiestarme
Darle hasta que el cuerpo aguante
Yo soy puro pa' adelanté
Ya traigo el trago en la mano
Con mi viejo disfrutando de una buena fiestona
Ya vamos rumbo pal rancho pa' que bailen los caballos
...


 "                                                                                 ,18.0               ,834   ,"AL CIEN Y PASADITO"
"EL KOMANDER"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"Si señor yo soy de rancho
Soy de botas y a caballo
Soy nacido y creado en el monte
En barrancos y brechas
Me la he navegado
El olor a ganado, costales de mota
Y el cantar de los gallos

Con frijoles de agua y sal
Mis padres me dieron crianza
No ocupe más de un buen catre
Y una cobijona para las heladas
Y cuando ajustaba el calorón macizo
En el río me bañaba
...


 "                                                                                                         ,20.0               ,835   ,"SOY DE RANCHO"
"NELSON KANZELA"                                                                   ,0.0       ,"Music"                               ,"Ahora si se volaron la barda
Con esa moda de la minifalda
No dejan nada a la imaginacion
Pues si se agachan se les mira hasta la espalda

Tengo una novia que se llama Reynalda
Tambien ella usa su minifalda
Y cuando pasa compa del alma
Le juro que hasta la lengua se me escalda
Le canto así

Reynalda, Reynalda, quitate tu minifalda
Que cuando bailas el cumbion, cumbion
Se te mira hasta la espalda

Reynalda, Reynalda, quitate tu minifalda
...


 "                                                                                             ,18.0               ,836   ,"LA REYNALDA"
"GRUPO G"                                                                          ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,837   ,"AYUDAME"
"LA BANDONONONA CLAVE NUEVA"                                                       ,0.0       ,""                                    ,"Cual adios
Donde ni siquiera hubo afecto
Ni respeto menos amor.

Yo solo soy la cuerda donde secas
Tus sueños mojados
Al calor del pecado.

Por eso cual dolor
Donde la pena tiene por morada
Tu corazon sin mi corazon

Despues de tantas lagrimas lloradas
Quedarme sin ti
Es haber perdido nada.

Si piensas que sin ti voy a morir
Hace tiempo que tu
Ya no vives en mi.
...


 "                                                                                                         ,5.0                ,838   ,"YA NO VIVES EN MI"
"EL COYOTE Y SU BANDA"                                                             ,""        ,""                                    ,""                                                                                                                                          ,18.0               ,839   ,"SE TENIA QUE DECIR Y SE DIJO"
"TOÑO LIZARRAGA"                                                                   ,0.0       ,"Latin"                               ,"Yo sería capaz
De entregarlo todo
Por este momento
Que he esperado tanto.

Nada, nada impedirá
Que esta vez yo sea
Como aquella estrella
Que brilla en lo alto.

Llevo, llevo como un talizman
El beso que me diste
Y no me he olvidado
De aquella promesa que una vez te hice.

Sabes
Yo por tí sería capaz
De convertirme en ave
De tener la fuerza
...


 "                                                                                                     ,11.0               ,840   ,"ASI COMO HOY"
"LOS PLEBES DEL RANCHO DE ARIEL CAMACHO"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Dicen que soy engreído y arrogante
No soportan verme, puro pa' delante
Soy honesto y trato de portarme bien
Con mis amistades siempre estoy al 100
No le busquen porque pueden encontrar
También me sé portar mal

Desde plebe me ha gustado la aventura
Los favores yo se los pido a San Judas
Tomé los consejos que quise tomar
Y siempre tomé el ejemplo de mi apá
Hoy me siento fuerte y sumamente rico
Cuando estoy junto a mis hijos

Me da igual si no les gustan mis tatuajes
No me importa andar quedando bien con nadie
Me he arriesgado y me ha tocado ganar
Y en las cuentas nada me ha salido mal
...


 "                                                                                                 ,21.0               ,841   ,"DEL NEGOCIANTE"
"GERARDO ORTIZ"                                                                    ,1.0       ,"Latin / Regional Mexicano"           ,"Tengo una novia que si
Le gusta pistear, pistear
Nomás la prueba se aloca
Y le gusta besar, besar

Y me besa aquí
Y me tienta acá
Me besa por todos lados
Y me besa aquí
Y me tienta acá
Me besa por todos lados

Le gusta bailar
Con la banda y acordeón
Los sábados en la disco
Sexy baila el reggaetón
Oscurito aquí
Oscurito allá
Luego, luego el vestidito
Se lo comienza a quitar

Y me besa aquí
Y me tienta acá
Me besa por todos lados
Y me besa aquí
...


 "                                                                                                                   ,22.0               ,842   ,"Y ME BESA"
"LUPILLO RIVERA"                                                                   ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,19.0               ,843   ,"DIGAME USTED"
"BANDA LOS SEBASTIANES"                                                            ,0.0       ,"Latin / Regional Mexicano"           ,"Si están esperando el día que me muera
Pa' llevarme flores
Jalarse la banda y llorar por mi ausencia
Con tristes canciones

Si están esperando mirarme en la caja
Para visitarme
Si quieren decirme cuanto me quisieron
Ya será muy tarde

Ahorita es cuando quiero verlos
Y no el mero día de mi entierro

...


 "                                                                                                   ,20.0               ,844   ,"EN VIDA"
"GERARDO ORTIZ"                                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Recuerdo como si hubiera sido ayer
La noche en la que toda recorrí toda tu piel
Y llené de besos todo tu cuerpo
Hasta el último rincón
Que a mi paso encontré

Esto fue mucho más que una aventura
Fue una dicha y también fue un placer
La forma en la que rasguñabas mi espalda
Y mordías mi cuello
Nunca lo olvidaré

Me volviste loco
Con esa cintura que hace maravillas
Tu largo cabello
Que al desvanecer me hizo mil cosquillas
A tus besos me hice adicto
...


 "                                                                                                ,28.0               ,845   ,"EL AROMA DE TU PIEL"
"J BALVIN"                                                                         ,1.0       ,"Dance / House"                       ,"You know sometimes
I think about us now and then
But I never wanna fall again, ah-ah-ah
Yo no te quisiera olvidar
Pero contigo es todo o na'
Yeah, yeah

You're deep in the water, yeah, you're drownin' us
You question my love like it's not enough
But I hate that you know, you know, you know
You got me tied up

You regret it now, but it's your mistake
What makes you think that my mind will change?
And you hate that you know, you know, you know
You know you're messed up

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door

One day you'll love me again
Hug me again 'til the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Acércate un poquito nomá'
Que yo quiero que te quedes conmigo
Deja a tus amiga' allá atrás
Que nos vamos en un viaje escondido'
...


 "                                                                                        ,91.0               ,846   ,"UN DIA"
"SERGIO MENDIVIL"                                                                  ,""        ,"Jazz / Big Band"                     ,""                                                                                                                                          ,1.0                ,847   ,"HABLAME"
"LOS CARDENALITOS DE NL"                                                           ,""        ,"Pop"                                 ,""                                                                                                                                          ,1.0                ,848   ,"LA ESPINA"
"ANGELINA BEMZ"                                                                    ,0.0       ,"Pop"                                 ,"En realidad
Sólo quería felicitarte ya lo ves
Por tu nuevo amor
Y que sigan adelante

En realidad
Todas mis cartas eran broma, es verdad
Y mis palabras
Fueron sólo soledad

En realidad
Yo ya tengo quién me quiera
Lejos de aquí, lejos de todo
Lejos de ti

Olvida lo que dije un día de ti
Dije que te quería, solo mentí
Sólo estaba jugando, si eso es
Jugué contigo, ya lo ves

...


 "                                                                                                      ,3.0                ,849   ,"EN REALIDAD"
"HOMENAJE NORTEÑO"                                                                 ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,1.0                ,850   ,"EL NOA NOA"
"LA DICTADURA"                                                                     ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,12.0               ,851   ,"VUELVE CONMIGO"
"LA ADICTIVA BANDA SAN JOSE DE MESILLAS"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"No me busques porqué le puedo fallar
A la niña que ahora está en tu lugar
No vengas a confundirme, no me pongas a pensar
Si me dices que me amas algo va a pasar

No me buscas porqué puedo ser infiel
Y podemos terminar en el hotel
No despiertes mi deseo, ni tampoco el interés
Pero caeré en tus brazos otra vez

No me buscas porqué soy un inseguro
...


 "                                                                                              ,22.0               ,852   ,"ESTA ES TU CANCION"
"LOS HUMILDES"                                                                     ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,853   ,"PA LA RAZA DEL BARRIO"
"RUBEN VEGA"                                                                       ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,1.0                ,854   ,"SI TE VAS ESTOY MEJOR"
"LORENZO DE MONTECLARO"                                                            ,0.0       ,"Latin / Regional Mexicano"           ,"Nadie sabe cuanto tiempo
Traía cargando amarguras
Como recuerdo a mí viejo
Y sus tantas aventuras.

Se le volvieron los a
En su rostro una madeja
Y transformó su sonrisa
Tan sólo por una mueca.

Sí encuentras en tú camino
A un hombre que va llorando
...


 "                                                                                                                 ,15.0               ,855   ,"ESE SEÑOR DE LAS CANAS"
"SANGRE FELINA"                                                                    ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,856   ,"QUE TE DIJO DE MI"
"BANDA EL RECODO"                                                                  ,0.0       ,"Latin / Regional Mexicano"           ,"Te presumo
Porque un verdadero amor nunca se esconde
Porque es un gran orgullo ser tu hombre

Te presumo
Porque eres para mí un gran tesoro
Y quiero estar junto a ti de cualquier modo

Te presumo
Porque eres para mí toda una reina
Me fascina, el saber que tú me quieres y deseas
...


 "                                                                                             ,23.0               ,857   ,"TE PRESUMO"
"BANDA LOS RECODITOS"                                                              ,0.0       ,"Latin / Regional Mexicano"           ,"Todavía no me trago esto de perdete
Yo te sigo amando
Para tu buena suerte
Tantos años, mil historias
Y un millón de besos
Dime dónde entierro todos los momentos
Yo no quiero que tiremos todos los recuerdos
Dime por favor que aún me queda tiempo
Que aún nos queda tiempo

...


 "                                                                                                ,26.0               ,858   ,"TIEMPO"
"PACO BARRON Y SUS NORTEÑOS CLAN"                                                  ,0.0       ,"Latin / Regional Mexicano"           ,"¿Cómo están?
Ahí les va un popurri de Mickey

Cuando calienta el sol, aquí en la playa
Siento tu cuerpo vibrar cerca de mi
Es tu palpitar, es tu cara, es tu pelo
Son tus besos, me estremezco ¡oh-uh-oh!
Cuando calienta el sol

Cariño mío sólo tú y yo
Los dos, sin nada que ocultar
Y tú y yo lanzamos el amor
Y tú y yo directo al corazón, al corazón
Cariño mío sólo tú y yo
Los dos, el pájaro y la flor
Y tú y yo lanzamos el amor
Y tú y yo directo al corazón, al corazón
Cariño mío, somos dos

...


 "                                                                                                    ,14.0               ,859   ,"POPURRI DE BANDA"
"LOS DOS CARNALES"                                                                 ,1.0       ,""                                    ,"Te vas a arrepentir cuando me veas con otra
Al vernos de la mano y al besar su boca
Te vas arrepentir y te lo digo enserio
Por haber despreciado este humilde ranchero

Te vas a arrepentir cuando me veas con otra
Al vernos de la mano y al besar su boca
Te vas arrepentir y te lo digo enserio
Por haber despreciado este humilde ranchero

A veces de guaraches, botas y sombrero
Nunca el valor de un hombre lo hace su dinero
Aunque no tengo nada yo te daba todo
...


 "                                                                                               ,21.0               ,860   ,"TE VAS A ARREPENTIR"
"OSCAR BAKANO Y SU GRUPO JALADO"                                                   ,""        ,""                                    ,""                                                                                                                                          ,""                 ,861   ,"EL VENENO DE TU AMOR"
"LOS CARDENALES DE NUEVO LEON"                                                     ,""        ,""                                    ,""                                                                                                                                          ,""                 ,862   ,"BELLEZA DE CANTINA"
"EL LOQUITO DEL RANCHO, EL COYOTE, KATIA VLOGS, CHOCOMILK, MAX PERAZA"             ,""        ,""                                    ,""                                                                                                                                          ,""                 ,863   ,"40 DÍAS"
"MARCO FLORES Y SU NUMERO 1 BANDA JEREZ"                                           ,""        ,""                                    ,""                                                                                                                                          ,""                 ,864   ,"LA BURRA OREJONA"
"LOS PRINCIPALES DE NUEVO LEON"                                                    ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,7.0                ,865   ,"DEJEMOSLO ASÍ"
"RAYITO COLOMBIANO"                                                                ,0.0       ,"Latin / Regional Mexicano"           ,"No sé cómo empezó todo, mas hoy te amo
Después de un gran sufrimiento vino tu amor
Yo sé lo que es el tormento venido del sentimiento
Y ahora se regocija mi corazón

Lo nuestro se fue escribiendo día con día
Tal vez en la hipocresía de un gran dolor
Tu vida cambió mi vida, muchachita consentida
...


 "                                                                                          ,18.0               ,866   ,"MUCHACHITA CONSENTIDA"
"JULION ALVAREZ"                                                                   ,""        ,""                                    ,""                                                                                                                                          ,""                 ,867   ,"EL AMOR DE SU VIDA"
"MANUEL ROMERO, LESLI GRACE"                                                       ,0.0       ,""                                    ,"Cada vez que me rozan tus labios veo el cielo brillar
Y al besarte solo pienso en besarte una vez más

Cada vez que acaricio tu piel siento tu respirar
Y me mojo el alma en tu aliento y te vuelvo a besar
Y es que no sabes tú lo que siento
Y que tanto te quiero
Que mi amor es mas fuerte que todo y todo es para ti

Son tus ojos, tu pelo, tu boca y tu sonrisa
...


 "                                                                                      ,15.0               ,868   ,"TE VUELVO A BESAR"
"CALIBRE 50"                                                                       ,0.0       ,"Latin / Regional Mexicano"           ,"La verdad no pensamos, ni imaginamos
Todo lo que pasaría, solo con una mirada
Te acercaste de una forma misteriosa
Y en ese preciso instante, te confieso, me gustabas

Despertaste en mí, tú, la curiosidad
De repente este amor empezó a entrar
Pero de ese amor del bueno

Y es que ya estaba escrito que me tocaban tus besos
Que de una y mil maneras, nos diríamos un te quiero
...


 "                                                                                         ,24.0               ,869   ,"AMOR DEL BUENO"
"EL FANTASMA"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"Antes de comenzar, voy a barajar
Mi vida como cartas, pa' poder ganar
Dos, uno jugaré, es mi proceder
Tal vez gano el volado y mi suerte cambiaré
Antes de nada pienso apostarle
Todo lo que tengo, hasta mi alma ruletear
Bueno o malo estoy pa' lo que da

Desde niño aprendí, trabajar pa' gastar
El oficio no importa, solo la humildad
Al toro le brinqué y aún sigo de pie
Navego el volante que cargo, lo diré
Solo el fanfarrón pública de que
...


 "                                                                                                 ,22.0               ,870   ,"VENGO A ACLARAR"
"GRUPO DISPUESTO"                                                                  ,""        ,""                                    ,""                                                                                                                                          ,""                 ,871   ,"YA DILE DE UNA VEZ"
"GRUPO DISPUESTO, JAVIER RIOS"                                                     ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,872   ,"EN DEFENSA PROPIA"
"LOS NUEVOS CAZADORES"                                                             ,""        ,"Music"                               ,""                                                                                                                                          ,1.0                ,873   ,"SI SUPIERAS"
"GRUPO LABERINTO"                                                                  ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,17.0               ,874   ,"MI POTRA"
"CALIBRE 50"                                                                       ,0.0       ,"Latin"                               ,"Casi 14 años
Sin ir a mi tierra
A donde nací...

Ya todo ha cambiado
Le ruego a mi dios
No se olviden de mí...

Se murió mi madre,
Y dice mi padre
Que ya está muy viejo
Y no quiere venir
Y yo sin poder ir,
Y yo sin poder ir...

Trabaje y trabaje
Tengo muchos días
Que no miro el sol...

Mis hijos son grandes
Y no les entiendo
No hablan español...

No han sentido miedo,
Aquel que no ha visto
Una camioneta
De migración,
O una deportación,
O una deportación...

De botitas y sombrero
...


 "                                                                                                                      ,27.0               ,875   ,"EL CORRIDO DE JUANITO"
"BANDA MS"                                                                         ,0.0       ,"Latin"                               ,"Tengo ganas de mirarte en este momento
Recordarte que eres tu la que me roba el sueno
Fuistes, eres, y seras con la que quiero siempre amanecer
Con la que quiero siempre despertar
Tu eres lo que mas quiero
Me gusta escuchar cuando me hablas
Cuando tu sonrisa ilumina tu cara
Se asoma el deseo y en ese momento
Te quiero besar
Porque la verdad,
Es que me tienes tan enamorado
...


 "                                                                                   ,19.0               ,876   ,"SOLO CON VERTE"
"LITZY COVARRUBIAS"                                                                ,0.0       ,"Latin"                               ,"Que te quedarás conmigo una vida entera
Que contigo adios invierno solo primavera
Que las olas son de magia y no de agua salada
Yo te creo todo y tú no me das nada
Tú no me das nada

Que si sigo tu camino llegaré hasta el cielo
Tú me mientes en la cara y yo me vuelve ciego
Yo me trago tus palabras tu juegas un juego
Y me brilla el mundo cuando dices luego
Cuando dices luego

Cuando dices siento siento que eres todo
Cuando dices vida yo estaré contigo
Tomas de mi mano y por dentro lloro
Aunque sea mentira me haces sentir vivo
...


 "                                                                                               ,4.0                ,877   ,"MIENTES TAN BIEN"
"BANDA TIERRA SAGRADA"                                                             ,0.0       ,"Latin"                               ,"Ya no eres la misma se te nota en tu sonrisa
Que ya no te hago feliz
Ya no me acaricias ni me besas
A la hora de dormir

Ya no es lo que era una rutina se apodera
De este amor
Vamos aclarando de una vez
Lo que es mejor para los dos

...


 "                                                                                               ,22.0               ,878   ,"TENEMOS QUE HABLAR"
"LA ARROLLADORA BANDA EL LIMÓN"                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Dile que me extrañas
Que te equivocaste
Que estabas molesta
Y por inmadura
Fue que lo aceptaste

Seremos discretos
No tendrás problemas
Nadie va a enterarse
Te doy mi palabra
Mi niña, no temas

Sé que te comes las uñas y le das mil vueltas,
No es lo que esperabas, ¿por qué no me cuentas?
Que es un mentiroso, que te ha confundido
...


 "                                                                                             ,24.0               ,879   ,"EL RUIDO DE TUS ZAPATOS"
"BANDA LA PRENDIDA DE MAZATLAN SINALOA"                                            ,1.0       ,""                                    ,"Me fascinan las viejas casadas
Siempre me ando metiendo en problemas
Sabe más sabroso lo prohibido
Me he vuelto exclusivo en mujeres ajenas

Me facinas las viejas casadas
A la orden siempre estoy con ellas
A escondidas es más divertido
Me gusta el peligro tratandose de ellas

En la cama el sexo es rico
Causa más diversión lo prohibido

Me gustan las viejas casadas
Así maduritas con cuerpo de diosas
...


 "                                                                                                    ,8.0                ,880   ,"ME GUSTAN LAS VIEJAS CASADAS"
"JULION ALVAREZ"                                                                   ,0.0       ,""                                    ,"No existe amor perfecto
Empiezo a pensar que esto del amor
Es una fantasía

Aún no me la creo
Que tú ya no te acuerdes de todas la veces
Que te hice mía

Y todavía me exiges
Que olvide tu sonrisa
Y borre de mi mente todas tus caricias

Me subes hasta el cielo
Y luego caigo al suelo
Porque tú te vas cuando más te quería

Te hubieras ido antes
¿Por qué no te marchaste?
¿Cuando aún no eras tan indispensable?

Me pides que te olvide cuando hiciste todo
Para enamorarme ¿A qué estabas jugando?
...


 "                                                                                                  ,10.0               ,881   ,"TE HUBIERAS IDO ANTES"
"GERARDO ORTIZ"                                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Si ya te vas, por qué no arreglas la maleta
Si tienes prisa te llevo en la camioneta
Llévate todo, cierra la puerta
No quiero volverte a mirar, mujer de piedra

Si ya te vas, de perdis dime las razones
Borra mi número, no quiero que me llores
Que tengas todo lo que has deseado
Y que lo bueno te recuerde lo pasado

Si ya te vas, vete olvidando de los besos que te di
...


 "                                                                                         ,22.0               ,882   ,"MUJER DE PIEDRA"
"BANDA LOS SEBASTIANES"                                                            ,0.0       ,"Latin / Regional Mexicano"           ,"(Oh, yo, yo, yo, yo, yo, Joy)
(Sebastianes)
(Y Sebastián Yatra)

Yo te conocí en primavera
Me miraste tú, de primera
De un verano eterno, me enamoré

Y esa despedida en septiembre
En octubre sí que se siente
Noviembre sin ti me dolió, también

Llegará diciembre, sigues en mi mente
Fueron seis meses y, por fin, volveré a verte
Llegará febrero, yo seré el primero
En darte flores y decirte que te quiero

Puede que pase un año más de una vez
Sin que te pueda ver
Pero, el amor es más fuerte
...


 "                                                                                               ,22.0               ,883   ,"UN AÑO MAS"
"ROBERTO TAPIA"                                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Ojalá y te vaya bien
Que no te hagan sufrir
No se rían en tu cara
Como me lo hiciste a mí

Te deseo lo mejor
No te deseo lo peor
Porque a pesar de todo
También me hiciste feliz

Nunca te falto nada
Te entregué toda mi alma
Todavía no comprendo
Porqué me trataste así

La verdad contigo fue algo diferente
Y nunca voy a negarlo
...


 "                                                                                                        ,18.0               ,884   ,"TE DESEO LO MEJOR"
"ALFREDO OLIVAS"                                                                   ,0.0       ,"Latin / Regional Mexicano"           ,"Y en Definitiva
Esto es definitivo
Y es que nuestro adiós
Ya tiene nombre y apellido

Fue lindo mientras fue
Pero, ya no se debe
Porque de poder
Seguro que se puede

En Definitiva
Y definitivamente
Voy a extrañar tus besos
Y tu forma diferente

De hacerme el amor
De tu figura exacta
Porque lo que me hacías tú
...


 "                                                                                                                  ,21.0               ,885   ,"EN DEFINITIVA"
"EL NIÑO DE ORO"                                                                   ,""        ,""                                    ,""                                                                                                                                          ,""                 ,886   ,"OJITOS HINCHADOS"
"EL FANTASMA"                                                                      ,0.0       ,""                                    ,"¿A qué le tienes miedo tú?
A arrepentirte o quedarte con las ganas
O tienes miedo de encontrar en mí lo que buscabas
Ya no le saques tanto la vuelta
Y celebremos que estamos cerca

Juntitos el uno del otro
A besos los miedos son pocos
Momentos que guarda tu pecho
Recuerdos de lo que hayas hecho

Y guárdame esta noche pero le pones mi nombre
...


 "                                                                                           ,37.0               ,887   ,"GUARDAME ESTA NOCHE"
"EL KOMANDER"                                                                      ,0.0       ,"Latin"                               ,"Cuando Dejo De Pistear El Komander
Yo pensé que ya no iba a tomar
Pero con más fuerza la vine agarrar
Ahí malamente me puse a jurar
Si soy un borracho y siempre quedo mal
Y ahora que por cierto ya no estas conmigo
Me a salido todo ese instinto animal

Cuando dejo de pistear
Siempre con más fuerza la vuelvo agarrar
Y cuando escucho la banda
...


 "                                                                                                  ,23.0               ,888   ,"CUANDO DEJO DE PISTIAR"
"SOBRECARGA NORTEÑA"                                                               ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,1.0                ,889   ,"NO SERÁ FÁCIL"
"GRUPO FIRME, MARCA MP"                                                            ,0.0       ,""                                    ,"De los Corredones originales
Con mis compas de Grupo Firme
Dice, más o menos, así

Yo no soy lúcido, mucho menos presumido
Pero sí me doy a respetar
A los envidiosos vieran cómo los detesto
Porque nomás hablan por hablar

Pacas de billetes, produciendo diariamente
Pues, mi meta ha sido duplicar
Odio las mentiras, pero adoro a mi familia
Y por ellos, yo, voy a luchar

Y la Cruz de Elota llevo en mi pecho
Ranchito que no he de olvidar
Revivir mi infancia
...


 "                                                                                                  ,39.0               ,890   ,"EL GUERO"
"INTOCABLE"                                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"Cuando me vi en tus ojos
Supe que eras mi verdad
Cuando me vi en tus ojos
Ya no hizo falta decir mas

Cuando te vi en mi brazos
No supe como fue
Pero cambio mi mundo
Lo volteaste de reves

Cuando me vi en tus ojos
Mi mundo no giro
Cuando te vi en mis brazos
Se paro el tiempo en mi reloj

Y fui feliz, fui muy feliz
Mas de lo que pude imaginar
Lo que soñe, lo que soñe
...


 "                                                                                                               ,26.0               ,891   ,"CUANDO ME VI EN TUS OJOS"
"ANGELA AGUILAR, PEPE AGUILAR"                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Cada día que amanece yo quiero verte
Con tu sonrisa de niña y tu mirada transparente
Ya que Dios me ha concedido el orgullo de tenerte
Quiero decirte, hija mía, que estaré contigo siempre

Yo no sé cómo explicarte con palabras lo que siento
Pero, aparte de adorarte, yo te admiro y te respeto
El mejor padre yo tengo y a Dios gracias doy, por eso
Quisiera seguir tus pasos, porque tú eres mi ejemplo

Toma mi mano con fuerza, no me sueltes, te lo ruego
Caminemos siempre juntos que, a donde vaya, te llevo
...


 "                                                                                       ,23.0               ,892   ,"TU SANGRE EN MI CUERPO"
"ADAL LORETO"                                                                      ,""        ,"Singer/Songwriter"                   ,""                                                                                                                                          ,9.0                ,893   ,"DEVUELVEME"
"BANDA MS"                                                                         ,""        ,""                                    ,""                                                                                                                                          ,""                 ,894   ,"EL MECHON"
"ALTA CONSIGNA"                                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Que más quisiera
Regresar el tiempo de alguna manera
Ser inmune a tus ojos que me dominan
Y a tu belleza

Mírate
Te robas mi corazón sólo con sonreír
Pero, sólo con un hombre, no puedes cumplir
Y es por eso que sólo me vine a despedir

Y, ojalá que algún día me supliques regreso
...


 "                                                                                                 ,19.0               ,895   ,"CULPABLE TU"
"SELENA"                                                                           ,0.0       ,"Latin / Pop in Spanish"              ,"Cada día es igual por mi pasillo
Nunca llego a mi puerta sin oír el chiflido
De un chavo que me dice que me está esperando
Lo que él debía hacer es ir y darse un baño

Y un aburrido me detiene, otra vez
Y yo le finjo interés
Cuando de pronto sale del asensor
La imágen de mis sueños
El que yo quiero para mi dueño

El chico del apartamento 512
El que hace a mi pobre corazón saltar
Es a quien le hago cartas noche y día
Que no puedo entregar

El chico del apartamento 512
Es el que me hace tartamuda y más
Es en quien yo pienso y sueño noche y día
Él, solo él

Y un viejo me invita, chica, ven a verme
Y le digo que no me caen los viejos rabos verdes
Y camino a mi cuarto muy lentamente
Con la esperanza de verlo
Y cuando sale a caminar
...


 "                                                                                            ,23.0               ,896   ,"EL CHICO DEL APARTAMENTO 512"
"CHUY Y MIGUEL VEGA"                                                               ,0.0       ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,4.0                ,897   ,"MIL FANTASIAS"
"LOS PLEBES DEL RANCHO DE ARIEL CAMACHO"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Las leyes de la atracción
Claro que sí, existen
Comprobado ya está por nosotros
Que somos felices

Yo sé que sí, permanecerán
Somos tal para cual
Desde que te vi
Desde que me viste

Buscábamos lo mismo
Y desde que nos vimos
Por darnos todo, todo
Hasta el porte lo perdimos

Buscábamos lo mismo
...


 "                                                                                                             ,25.0               ,898   ,"BUSCABAMOS LO MISMO"
"EL PEGA PEGA DE EMILIO REYNA"                                                     ,0.0       ,"Latin"                               ,"Andando por ahi
De pronto me senti entre los cuernos de la luna
No se como llegue
No se como subi si lo le temo a las alturas
Que estas haciendo aqui me dijo mi otro yo
Y yo muriendome de pena
Le tuve que decir que fue por perseguir
...


 "                                                                                             ,12.0               ,899   ,"AFERRADO"
"LIRICOS JR, TROPICAL PANAMA"                                                      ,""        ,"Latin"                               ,""                                                                                                                                          ,15.0               ,900   ,"TA CHIDITO"
"GERMAN MONTERO"                                                                   ,0.0       ,"Latin / Regional Mexicano"           ,"Hace tiempo nadie sabe de mí
De repente me desaparecí
Sin ganas de nada
Me pierdo en las madrugadas
Sin saber a dónde ir

Me dejaste fue mi desastre
Esa mañana desperté y ya no te vi
Desde ese día me pierdo en el alcohol
Porque te quiero y vivo con la ilusión
De encontrarte y después reconquistarte
Y ahora un vagabundo soy

Soy el vagabundo
Que tú rechazaste
Soy un vagabundo de primera clase
Me quede sin nada
Cuando me dejaste
Y no me refiero a cosas materiales

...


 "                                                                                                     ,18.0               ,901   ,"VAGABUNDO"
